n_classifiers,n_nodes,accuracy
75,"[7, 7, 7, 7, 7, 15, 11, 15, 7, 15, 7, 31, 23, 11, 15, 7, 11, 7, 11, 7, 7, 7, 11, 31, 31, 11, 11, 7, 11, 31, 11, 11, 15, 7, 7, 11, 11, 7, 15, 31, 15, 7, 31, 27, 7, 7, 11, 7, 15, 7, 11, 11, 31, 23, 11, 7, 7, 7, 11, 11, 15, 7, 15, 15, 11, 7, 7, 27, 7, 7, 11, 7, 7, 11, 15]",0.7666666666666667
100,"[31, 11, 7, 7, 31, 15, 7, 11, 7, 31, 11, 7, 7, 11, 7, 11, 15, 15, 7, 7, 7, 31, 23, 7, 11, 7, 11, 7, 7, 11, 7, 11, 7, 7, 15, 7, 7, 31, 15, 7, 7, 7, 7, 11, 7, 7, 7, 15, 15, 7, 15, 31, 11, 7, 11, 15, 11, 7, 11, 7, 7, 11, 7, 7, 7, 7, 15, 7, 11, 11, 7, 7, 11, 31, 7, 31, 7, 27, 7, 7, 15, 7, 11, 7, 11, 11, 15, 11, 7, 15, 7, 23, 7, 7, 31, 7, 15, 27, 15, 11]",0.7833333333333333
5,"[11, 7, 7, 11, 7]",0.7666666666666667
10,"[7, 7, 7, 11, 7, 7, 11, 7, 7, 7]",0.7666666666666667
25,"[7, 7, 11, 11, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
50,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 11, 11, 11, 7, 7, 7, 7, 11, 11, 11, 7, 7, 11, 7, 11, 7]",0.7666666666666667
75,"[7, 11, 7, 7, 23, 7, 11, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 15, 7, 11, 11, 7, 11, 7, 11, 7, 15, 7, 7, 7, 7, 7, 11, 11, 7, 7, 7, 11, 15, 7, 11, 11, 7, 7, 15, 7, 11, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11]",0.7666666666666667
100,"[7, 7, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 7, 7, 7, 7, 11, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 15, 11, 7, 7, 7, 7, 11, 7, 7, 15, 7, 7, 7, 7, 7, 11, 7, 11, 7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 7, 15, 7, 7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 15, 15, 7, 23, 7, 7]",0.7666666666666667
5,"[7, 7, 7, 7, 7]",0.7666666666666667
10,"[7, 7, 7, 7, 11, 7, 7, 7, 7, 11]",0.7666666666666667
25,"[7, 11, 7, 7, 7, 19, 7, 7, 11, 7, 11, 7, 15, 11, 11, 7, 11, 7, 11, 11, 7, 7, 11, 7, 11]",0.7333333333333333
50,"[7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 15, 7, 19, 7, 11, 7, 11, 7, 11, 7, 11, 11, 15, 11, 7, 7, 7, 11, 19, 7, 7, 15, 11, 11, 7, 11, 11, 7, 7, 11, 7, 7, 15, 7, 11, 11, 7, 11, 7, 11]",0.7333333333333333
75,"[7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11, 11, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11]",0.7666666666666667
100,"[11, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
