n_classifiers,n_nodes,accuracy
50,"[9, 9, 13, 7, 9, 11, 11, 7, 11, 7, 9, 9, 11, 11, 11, 7, 11, 11, 11, 13, 13, 7, 11, 9, 9, 11, 9, 11, 11, 11, 9, 11, 11, 11, 11, 13, 11, 13, 11, 9, 9, 13, 11, 11, 11, 9, 11, 11, 9, 13]",0.9016393442622951
75,"[13, 9, 11, 9, 9, 7, 9, 7, 9, 11, 11, 13, 11, 9, 9, 5, 7, 9, 9, 9, 11, 13, 9, 9, 9, 11, 13, 11, 13, 9, 9, 13, 9, 9, 11, 11, 7, 11, 11, 11, 9, 7, 9, 9, 11, 15, 11, 11, 9, 11, 13, 11, 13, 11, 7, 9, 7, 13, 11, 9, 15, 9, 7, 13, 9, 11, 9, 9, 7, 11, 11, 11, 7, 9, 7]",0.8524590163934426
100,"[7, 11, 13, 11, 11, 11, 9, 9, 11, 11, 11, 9, 11, 13, 11, 11, 13, 11, 11, 9, 9, 7, 9, 13, 11, 11, 9, 11, 9, 11, 7, 11, 9, 9, 9, 11, 9, 11, 11, 11, 9, 11, 11, 9, 9, 9, 13, 9, 11, 15, 7, 17, 7, 9, 9, 9, 7, 11, 11, 9, 11, 11, 9, 5, 9, 9, 11, 11, 9, 11, 7, 9, 5, 7, 13, 11, 13, 11, 11, 11, 13, 11, 7, 9, 9, 7, 9, 13, 11, 13, 9, 11, 9, 11, 5, 9, 7, 7, 9, 9]",0.8688524590163934
5,"[9, 11, 11, 13, 11]",0.8032786885245902
10,"[13, 9, 11, 11, 11, 11, 11, 11, 9, 11]",0.819672131147541
25,"[15, 11, 9, 11, 9, 11, 9, 13, 9, 13, 13, 15, 11, 11, 11, 11, 5, 13, 9, 9, 15, 11, 9, 7, 9]",0.8688524590163934
50,"[11, 9, 9, 9, 13, 9, 11, 9, 11, 9, 7, 13, 9, 9, 9, 9, 9, 7, 7, 9, 11, 7, 11, 9, 9, 11, 9, 9, 11, 11, 11, 11, 9, 13, 11, 9, 11, 11, 13, 11, 13, 11, 9, 9, 9, 11, 13, 11, 13, 11]",0.8688524590163934
75,"[9, 7, 9, 9, 11, 9, 9, 13, 11, 7, 11, 11, 9, 13, 13, 11, 7, 11, 9, 11, 11, 17, 11, 9, 15, 11, 11, 11, 9, 9, 5, 13, 9, 9, 11, 9, 11, 11, 11, 11, 13, 9, 9, 9, 13, 9, 9, 11, 11, 9, 9, 11, 5, 9, 13, 13, 11, 9, 9, 9, 11, 13, 7, 9, 13, 13, 11, 9, 9, 11, 13, 13, 9, 11, 13]",0.8852459016393442
100,"[11, 11, 11, 11, 9, 9, 13, 11, 11, 15, 11, 15, 7, 13, 11, 9, 11, 11, 11, 15, 7, 13, 15, 13, 9, 11, 11, 9, 9, 11, 11, 7, 11, 9, 11, 9, 9, 11, 7, 11, 9, 9, 9, 13, 11, 7, 7, 11, 9, 9, 11, 7, 11, 13, 9, 9, 11, 11, 9, 11, 11, 9, 9, 9, 11, 11, 7, 11, 11, 13, 9, 11, 7, 9, 9, 13, 9, 15, 7, 11, 9, 7, 9, 11, 9, 9, 11, 9, 11, 13, 11, 9, 7, 9, 11, 13, 9, 11, 11, 9]",0.8524590163934426
5,"[11, 9, 11, 11, 11]",0.9016393442622951
